MasterFile,NumberKilled,CollisionDate,CollisionTime,ParkingLotIndicator,IntersectionWith_Indicator_,NumberInjured,ofUnits,ofMotorVehicleUnits,SpeedLimitNumber,LatitudeDecimalNumber,LongitudeDecimalNumber,MannerofCollisionCode,TotalLanes,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,RT_UNIQUE,LaneDepart
71768481,4,20160423,1203,0,0,1,2,2,55,37.498539,-86.38797,3,2,5,1,1,3,2,043-KY-0054  -,0
71813733,3,20160721,410,0,1,1,1,1,55,37.706181,-84.759758,9,2,4,1,1,4,6,011-KY-0033  -,1
71917687,2,20161217,1030,0,0,0,2,2,55,37.652149,-83.474808,1,2,3,1,5,3,2,119-KY-0015  -,0
71765522,2,20160425,1041,0,0,1,2,2,70,37.016041,-86.519432,5,4,4,1,1,2,2,114-WN-9007  -,1
71760010,2,20160408,1407,0,0,2,2,2,55,37.763199,-85.350708,3,2,6,1,1,2,2,090-US-0150  -,1
71823466,2,20160806,1529,0,0,1,2,2,55,38.037102,-83.230728,3,2,6,1,5,6,2,088-KY-0007  -,1
71786152,2,20160611,1510,0,0,2,2,2,55,36.65472,-84.436478,1,2,6,1,1,2,2,074-US-0027  -,0
71863753,2,20161002,1147,0,0,0,1,1,55,37.032742,-88.812729,9,2,4,1,1,2,2,073-KY-0726  -,1
71722358,2,20160116,27,0,0,0,1,1,45,37.11393,-88.383888,9,2,3,1,5,2,4,070-KY-0453  -,1
71752501,2,20160321,610,0,0,1,2,2,55,37.468601,-85.600952,3,2,1,1,1,3,6,062-KY-0210  -,0
71790909,2,20160621,2138,0,0,1,4,1,45,38.207951,-85.58345,9,4,3,1,1,2,3,056-KY-0155  -,0
71907155,2,20161128,1355,0,1,1,2,2,35,38.222252,-85.658417,1,4,6,1,5,6,2,056-KY-0155  -,1
71836048,2,20160829,1015,0,1,2,2,2,45,37.814812,-87.560112,1,2,6,1,1,2,2,051-KY-0812  -,1
71736870,2,20160213,1850,0,0,2,2,2,35,37.374649,-85.902748,7,2,6,1,1,2,5,050-US-0031 W-,1
71788145,2,20160604,730,0,0,3,2,2,45,37.520069,-85.880058,1,2,6,1,1,3,2,047-US-0031 W-,0
71730001,2,20160204,337,0,0,0,1,1,55,36.561859,-88.519821,9,2,1,1,1,2,6,042-KY-0097  -,1
71728484,2,20160120,1238,0,0,1,2,2,55,37.73616,-87.003838,1,2,6,1,5,3,2,030-KY-0054  -,0
71767734,2,20160423,1600,0,0,2,2,2,55,37.162708,-83.567101,3,2,4,1,1,2,2,026-HR-9006  -,0
71786627,2,20160607,2209,0,1,4,4,4,55,37.986549,-84.20639,5,4,6,1,1,2,5,025-KY-1958  -,0
71772302,2,20160511,158,0,0,1,1,1,70,38.585751,-85.175591,9,4,1,1,5,6,6,021- I-0071  -,1
71806209,2,20160705,1905,0,0,1,2,2,55,37.831711,-86.32592,3,3,4,1,1,2,2,014-US-0060  -,0
71815501,2,20160724,2039,0,0,0,1,1,55,38.231449,-84.388123,9,2,3,1,1,2,2,009-KY-0353  -,1
71758029,2,20160324,1435,0,0,3,3,3,55,36.73888,-83.603241,7,3,1,1,1,2,2,007-US-0119  -,1
71744716,2,20160229,2031,0,0,0,1,1,55,36.72694,-86.153427,9,2,2,1,1,2,6,002-KY-0100  -,1
71965031,2,20160715,1423,0,0,1,1,1,55,37.200352,-85.142708,9,2,6,1,1,2,2,001-KY-0076  -,1
71743409,2,20160303,1847,0,0,1,2,2,45,38.993408,-84.411583,3,4,1,1,5,3,6,001-KY-0055  -,0
71806518,2,20160708,1520,0,0,3,3,3,45,37.44009,-86.891769,7,5,6,1,1,2,2,001-KY-0055  -,0
71835548,2,20160730,322,0,0,1,2,2,55,38.32616,-83.77755,3,2,6,1,1,2,6,001-KY-0055  -,0
71874902,2,20161022,2215,0,0,2,1,1,35,39.12772,-84.736183,9,2,1,1,1,3,7,001-KY-0055  -,1
71828967,1,20160817,1605,0,0,0,1,1,55,38.02005,-84.765961,9,2,1,1,5,6,2,120-KY-1964  -,1
71717845,1,20160108,1619,0,0,0,1,1,55,38.184078,-84.737671,9,2,3,1,5,3,2,120-KY-1685  -,1
71922335,1,20161214,452,0,0,0,2,2,65,37.744308,-83.517418,5,2,6,1,1,2,4,119-KY-9009  -,1
71743635,1,20160306,2128,0,0,1,1,1,55,37.751621,-83.619179,9,2,3,1,1,2,6,119-KY-0715  -,1
71744589,1,20160305,328,0,0,1,1,1,55,37.744579,-83.630829,9,2,1,1,1,4,6,119-KY-0715  -,1
71731515,1,20160111,1700,0,0,0,1,1,55,36.658428,-84.13385,9,2,6,1,1,3,2,118-US-0025 W-,1
71792920,1,20160421,1122,0,0,2,2,2,55,36.90683,-84.158638,3,2,4,1,1,2,2,118-US-0025 W-,0
71817564,1,20160725,1805,0,0,1,3,1,55,36.792519,-84.225143,9,2,3,1,1,2,2,118-KY-0895  -,0
71836999,1,20160731,1525,0,1,6,2,2,55,36.817631,-84.19989,7,2,6,1,1,2,2,118-KY-0204  -,1
71730780,1,20160121,1131,0,0,2,2,2,55,36.732151,-84.117691,3,2,3,1,5,2,2,118-KY-0092  -,0
71841140,1,20160728,1130,0,0,0,1,1,55,36.74165,-84.007202,9,2,4,1,5,6,2,118-KY-0092  -,1
71827480,1,20160801,710,0,0,0,1,1,70,36.933361,-84.125809,9,2,6,1,1,2,1,118- I-0075  -,1
71824469,1,20160225,1647,0,0,3,2,2,35,37.637859,-87.644707,4,2,4,1,5,6,2,117-US-0041 A-,0
71875899,1,20161014,1601,0,0,1,1,1,55,37.43578,-87.678513,9,2,1,1,5,3,2,117-KY-0120  -,1
71787746,1,20160503,1426,0,0,0,1,1,35,36.845371,-84.899986,9,1,3,1,1,2,2,116-KY-3284  -,1
71865313,1,20160810,2117,0,0,0,1,1,55,36.92992,-84.82814,9,2,6,1,1,2,6,116-KY-2393  -,1
71910238,1,20160818,1836,0,0,0,1,1,55,36.796371,-84.898689,9,2,1,1,5,3,2,116-KY-0200  -,1
71794241,1,20160627,1307,0,0,2,2,2,55,36.777962,-84.805771,3,2,1,1,5,6,2,116-KY-0092  -,0
71804427,1,20160701,926,0,0,0,1,1,45,36.749111,-84.708138,9,2,1,1,1,2,2,116-KY-0092  -,1
